,femur,tibia
1192,91,255
1193,306,19
1194,1879,473
1195,235,9
1196,8,23
1197,89,174
1198,0,60
1199,3,0
1200,2,0
1201,165,4
1202,1362,395
1203,16,8
1204,33,2134
1205,1,8
1206,0,2858
1207,1284,2158
1208,1,64
1209,1272,6315
1210,1704,11583
1211,2687,10981
1212,2,832
1213,87,48
1214,172,253
1215,137,12
1216,3,2
1217,6,102
1218,1,2
1219,8,6
1220,26,0
1221,9,1871
1222,8,703
1223,0,212
1224,2,760
1225,0,123
1226,2,4
1227,1,4
1228,1,0
1229,10,0
1230,866,8997
1231,0,0
1232,6,0
1233,15,0
1234,118,0
1235,88,2
1236,364,285
1237,505,7
1238,802,0
1239,23735,163
1240,308,0
1241,139,1574
1242,830,374
1243,0,0
1244,353,25
1245,400,32
1246,501,0
1247,2,0
1248,13,0
1249,15835,9017
1250,62,1
1251,3,30
1252,1,8
1253,0,1
1254,9,5120
1255,1,189
1256,2,125
1257,4,283
1258,8,1676
1259,294,126
1260,114,3150
1261,25157,22827
1262,310,846
1263,347,1686
1264,15162,7049
1265,1,0
1266,1,2
1267,0,6
1268,0,1
1269,1,0
1270,10,205
1271,179,0
1272,2001,1299
1273,924,5
1274,3,2
1275,0,13
1276,0,6
1277,1,0
1278,4,1
1279,1578,547
1280,2824,17
1281,1626,17
1282,1447,39
1283,46,3
1284,8,43
1285,366,4900
1286,1059,471
1287,1,0
1288,7,1
1289,6,1
1290,1,0
1291,0,0
1292,4,0
1293,0,0
1294,0,16
1295,2,2405
1296,0,2
1297,0,2
1298,446,2
1299,21,12
1300,2825,891
1301,7796,680
1302,0,237
1303,46,2
1304,95,72
1305,140,0
1306,411,741
1307,5,13
1308,57,4
1309,1185,202
1310,88,106
1311,941,1061
1312,134,6
1313,83,80
1314,13,53
1315,1028,1305
1316,109,2492
1317,11,6
1318,2,111
1319,8,17
1320,652,175
1321,2,61
1322,122,530
1323,2,0
1324,20,6
1325,1,3
1326,0,0
1327,0,15
1328,23,2
1329,0,0
1330,2,27
1331,126,117
1332,3415,4088
1333,55,64
1334,228,354
1335,366,2445
1336,0,1
1337,19,750
1338,801,553
1339,847,2011
1340,4970,11723
1341,8,13
1342,1532,1266
1343,0,561
1344,24,601
1345,1,1
1346,3219,316
1347,56,0
1348,2,13
1349,1079,770
1350,1,0
1351,32,8
1352,52,2
1353,34,0
1354,7,3
1355,12,1
1356,14278,4516
1357,23,1
1358,0,0
1359,0,0
1360,59,18
1361,1,0
1362,31,8
1363,0,3
1364,0,26
1365,98,159
1366,0,380
1367,151,23
1368,1,135
1369,0,3
1370,0,75
1371,131,12
1372,0,1
1373,0,3
1374,5,2
1375,12,18
1376,2,77
1377,53,231
1378,509,157
1379,492,1887
1380,5,0
1381,0,0
1382,1,28
1383,7,592
1384,53,16
1385,54,273
1386,133,484
1387,634,766
1388,1070,556
1389,40,1437
1390,0,85
1391,2,53
1392,1032,141
1393,0,1
1394,54,329
1395,0,6470
1396,29,3396
1397,27,7888
1398,1278,6533
1399,22,3
1400,238,540
1401,2,14
1402,3,45
1403,45,1171
1404,2,1
1405,973,0
1406,72,24
1407,0,0
1408,1,0
1409,4,1
1410,0,4
1411,13,0
1412,2,10
1413,1,5
1414,1,0
1415,48,17
1416,0,5
1417,1,2
1418,33,8425
1419,5915,5411
1420,649,6148
1421,16,166
1422,310,229
1423,181,1144
1424,139,932
1425,1513,1793
1426,729,248
1427,0,1265
1428,1,20
1429,62,223
1430,926,1977
1431,434,3122
1432,213,4392
1433,126,4149
1434,7,17
1435,4,1
1436,3,211
1437,1602,8058
1438,841,8382
1439,1450,5073
1440,951,6425
1441,279,377
1442,1,17
1443,1378,8451
1444,2476,2148
1445,111,2042
1446,52,4572
1447,215,2637
1448,8,512
1449,3,47
1450,5,606
1451,1,0
1452,4,18
1453,13,2
1454,100,18
1455,0,59
1456,70,2160
1457,725,50
1458,0,1
1459,0,0
1460,0,9
1461,3,8
1462,2,10
1463,4,5
1464,1,8
1465,1537,705
1466,493,13
1467,2,8
1468,411,3338
1469,2345,6047
1470,0,15
1471,2,2
1472,170,5485
1473,4,2
1474,256,89
1475,36,1286
1476,16,250
1477,140,1156
1478,3,6
1479,109,1
1480,10,34
1481,1,54
1482,1,94
1483,0,80
1484,0,12
1485,1,0
1486,38,5
1487,10890,9
1488,64,3824
1489,19,1738
1490,0,74
1491,0,3
1492,0,6
1493,14,3
1494,182,51
1495,59,154
1496,0,1566
1497,18587,39890
1498,18791,58442
1499,24741,51598
1500,20,14
1501,1,4
1502,4,2
1503,604,176
1504,386,209
1505,480,3018
1506,932,10058
1507,9,142
1508,5,2
1509,6,9
1510,15,184
1511,20,162
1512,941,1066
1513,19,7
1514,7335,2
1515,7561,1249
1516,0,36
1517,9,93
1518,1,502
1519,0,0
1520,0,1852
1521,862,152
1522,507,1546
1523,1263,418
1524,89,740
1525,56,1428
1526,2760,3298
1527,2,0
1528,83,2
1529,2,0
1530,1,6
1531,354,154
1532,2,0
1533,477,5
1534,3,2
1535,132,274
1536,0,11
1537,2,0
1538,756,259
1539,175,5036
1540,6,310
1541,0,76
1542,1143,3648
1543,2,241
1544,57,46
1545,75,18
1546,28,3959
1547,8,529
1548,3,60
1549,595,0
1550,1,0
1551,1196,3877
1552,21,3
1553,48,58
1554,19420,18
1555,899,1206
1556,1,0
1557,534,1047
1558,7109,628
1559,1922,2916
1560,70,62
1561,89,76
1562,182,5584
1563,0,3
1564,5,3
1565,120,1221
1566,90,34
1567,710,506
1568,1763,276
1569,2,475
1570,275,2
1571,178,2
1572,9,53
1573,2,0
1574,17,5
1575,82,286
1576,577,60
1577,1849,9384
1578,2,9
1579,0,87
1580,0,690
1581,8,85
1582,2,1948
1583,867,2862
1584,0,160
1585,3,4
1586,361,1
1587,7,9
1588,24,258
1589,1,11
1590,29,32
1591,152,9527
1592,20,1858
1593,2,13
1594,192,497
1595,0,1
1596,567,265
1597,1265,5805
1598,1,3
1599,1,0
1600,175,5
1601,294,5481
1602,25,3744
1603,27,4247
1604,58,3732
1605,3,3
1606,2,5
1607,38,61
1608,53,8
1609,2,10
1610,21,1907
1611,0,0
1612,1888,5174
1613,165,0
1614,2,0
1615,7,3
1616,10,102
1617,874,4647
1618,0,1600
1619,1,4
1620,10327,325
1621,151,64
1622,113,129
1623,616,253
1624,65,1399
1625,5,7
1626,2400,1603
1627,774,4
1628,0,0
1629,1,1
1630,2,12
1631,2,2
1632,2,27
1633,463,55
1634,1,2
1635,62,7
1636,15,3
1637,0,1
1638,1519,3310
1639,2962,4275
1640,0,366
1641,882,123
1642,6,42
1643,2,2378
1644,16,14
1645,31,18
1646,7,3
1647,32,2625
1648,3,18
1649,0,3040
1650,0,518
1651,2243,208
1652,134,66
1653,433,1
1654,156,3
1655,17,255
1656,5,1
1657,172,0
1658,713,985
1659,4361,2996
1660,647,151
1661,42,72
1662,4,4885
1663,0,2771
1664,1691,3568
1665,949,6018
1666,0,0
1667,147,1375
1668,72,7
1669,1152,716
1670,2817,3130
1671,135,492
1672,1,1508
1673,299,6
1674,196,1
1675,0,25
1676,1613,5614
1677,684,4051
1678,937,3597
1679,872,2780
1680,34,1201
1681,139,107
1682,2338,14734
1683,4317,7429
1684,1,1
1685,104,0
1686,1,5
1687,13,0
1688,445,280
1689,46,4
1690,1612,1361
1691,4377,308
1692,687,204
1693,11321,136
1694,0,0
1695,17,0
1696,383,315
1697,1,0
1698,1526,1471
1699,190,1881
1700,1,15
1701,31,720
1702,4,444
1703,2771,130
1704,120,108
1705,151,366
1706,769,996
1707,1657,1743
1708,2932,0
1709,2,13
1710,297,2002
1711,5,75
1712,15,1616
1713,43,1201
1714,77,412
1715,1,1
1716,7,8
1717,1,13
1718,4,11
1719,0,7
1720,1,2
1721,2,16
1722,8,0
1723,2,0
1724,0,16
1725,572,2424
1726,315,14184
1727,143,1094
1728,2,139
1729,112,181
1730,0,72
1731,17,57
1732,523,752
1733,1,3
1734,11,27
1735,0,0
1736,43,86
1737,1,0
1738,2,6
1739,7,14
1740,1,0
1741,857,56
1742,482,0
1743,88,79
1744,11,1
1745,4,24
1746,6,356
1747,3,0
1748,2,1
1749,401,8
1750,1,2
1751,0,4766
1752,552,1
1753,139,270
1754,25,27
1755,1422,32
1756,75,0
1757,757,6
1758,1810,0
1759,561,35
1760,2360,172
1761,1,6
1762,0,6
1763,1,1
1764,87,0
1765,23,222
1766,0,381
1767,1,286
1768,12,83
1769,16,267
1770,1,4
1771,0,1
1772,51,23
1773,22,854
1774,47,7609
1775,38,4244
1776,512,590
1777,529,1250
1778,2,159
1779,511,2049
1780,2,1
1781,0,0
1782,5,3
1783,20,28
1784,12,1
1785,4,11
1786,50,55
1787,242,333
1788,2462,444
1789,183,0
1790,153,198
1791,18,411
1792,16161,5
1793,2252,3509
1794,708,19640
1795,126,3
1796,11,11
1797,0,6
1798,2478,1124
1799,0,11
1800,1,2
1801,0,0
1802,0,0
1803,12,17
1804,1,9
1805,51,9
1806,45,132
1807,743,1178
1808,9,0
1809,3,13
1810,1,1
1811,0,16
1812,266,1235
1813,9,1
1814,21,27
1815,0,1522
1816,5382,4336
1817,461,4293
1818,509,0
1819,12,0
1820,7,75
1821,5,29
1822,0,33
1823,0,16
1824,338,487
1825,705,3
1826,0,29
1827,0,27
1828,3,2
1829,7,12
1830,8,0
1831,1,11
1832,2,254
1833,758,1427
1834,945,0
1835,794,0
1836,119,361
1837,200,824
1838,35,17
1839,6,17
1840,0,397
1841,0,647
1842,137,3003
1843,418,4086
1844,5,12
1845,75,809
1846,10,1813
1847,2,4083
1848,54,2
1849,125,0
1850,0,361
1851,2,17
1852,29,4466
1853,670,719
1854,991,294
1855,5,51
1856,25199,352
1857,926,4414
1858,44,1365
1859,424,157
1860,4,6
1861,3,9
1862,6,41
1863,4,3
1864,129,2167
1865,160,1002
1866,55,1575
1867,764,1636
1868,5,79
1869,20,16
1870,0,6
1871,125,2315
1872,0,264
1873,70,0
1874,24,7
1875,288,674
1876,1704,4
1877,9067,629
1878,154,0
1879,0,4
1880,290,20
1881,28,5
1882,6,71
1883,1589,0
1884,3,0
1885,0,1501
1886,28,0
1887,179,6754
1888,8644,6975
1889,5179,10140
1890,2,1
1891,1116,8
1892,14,255
1893,13,3
1894,0,0
1895,13,11
1896,1212,8167
1897,28,1534
1898,32,211
1899,3,271
1900,3,14
1901,6294,3757
1902,14366,14670
1903,5,0
1904,5,0
1905,2,0
1906,6,4
1907,0,496
1908,5,5
1909,1683,7595
1910,853,2746
1911,6323,775
1912,846,264
1913,390,6062
1914,30,0
1915,3,100
1916,7,2
1917,0,213
1918,0,83
1919,1,0
1920,3,424
1921,0,1
1922,1130,13325
1923,3635,21946
1924,1347,17285
1925,0,1
1926,9,29
1927,1585,534
1928,550,1108
1929,1779,6334
1930,597,18
1931,0,1902
1932,0,0
1933,1558,34
1934,2,94
1935,218,1277
1936,55,82
1937,101,145
1938,266,59
1939,55,82
1940,284,1
1941,9,168
1942,181,15
1943,19,78
1944,3,15
1945,25,184
1946,0,2
1947,127,6
1948,6,323
1949,2,65
1950,0,0
1951,1,3
1952,4,52
1953,1,1602
1954,55,2258
1955,0,15
1956,14,440
1957,86,3692
1958,962,3696
1959,275,3659
1960,9,1898
1961,887,3606
1962,2176,809
1963,1210,2754
1964,167,99
1965,1,3
1966,144,10
1967,104,276
1968,3,0
1969,7,0
1970,0,16
1971,1,8
1972,13,370
1973,15,8
1974,5,3
1975,1,0
1976,2,4
1977,30,25
1978,1,131
1979,238,5412
1980,35,5508
1981,28,711
1982,252,2
1983,117,3
1984,2,727
1985,19,0
1986,2,49
1987,1,19
1988,61,1
1989,1016,1165
1990,1,3
1991,2,1526
1992,11,3
1993,475,0
1994,389,4
1995,1284,1083
1996,1,0
1997,2781,10
1998,71,42
1999,1955,11
2000,5323,1250
2001,2,2
2002,4,0
2003,91,50
2004,6,664
2005,0,0
2006,2,5
2007,14,117
2008,6,233
2009,2743,678
2010,2,0
2011,98,10
2012,3,3
2013,73,142
2014,4,0
2015,0,1
2016,0,81
2017,490,16
2018,37,0
2019,406,1
2020,0,491
2021,4,107
2022,134,145
2023,3,1
2024,43,183
2025,1,440
2026,1,453
2027,33,224
2028,426,7
2029,142,20
2030,229,41
2031,1373,391
2032,902,5
2033,892,27
2034,1,7
2035,2,3
