,femur,tibia
1100,0,0
1101,185,279
1102,41,24
1103,4,6
1104,2,10
1105,145,374
1106,91,129
1107,0,0
1108,90,369
1109,0,2
1110,2,0
1111,4,0
1112,2,1
1113,11,2
1114,1,2
1115,0,0
1116,7,0
1117,3,1
1118,18,0
1119,0,0
1120,8,2
1121,3,26
1122,27,7
1123,16,15
1124,11,24
1125,0,8
1126,5,8
1127,0,150
1128,3,0
1129,2933,23
1130,926,6064
1131,0,1
1132,1083,115
1133,354,1
1134,1,0
1135,15,10
1136,1064,1355
1137,3,0
1138,1,2672
1139,0,236
1140,261,146
1141,14,0
1142,1,18
1143,2,9
1144,1,0
1145,425,0
1146,1,5
1147,4,17
1148,13,5
1149,2,0
1150,1,1
1151,19,4
1152,5,11
1153,2125,563
1154,29,243
1155,15,2
1156,0,1
1157,0,166
1158,0,3
1159,75,22
1160,2,0
1161,9,66
1162,8,73
1163,207,76
1164,6,16
1165,4,10
1166,0,47
1167,70,124
1168,145,23
1169,21,3
1170,24,1440
1171,1,9
1172,103,2334
1173,282,3353
1174,4,13
1175,2,4
1176,0,8
1177,0,0
1178,2,8
1179,3,20
1180,4,50
1181,18,53
1182,1,2
1183,0,0
1184,6,1
1185,2,3
1186,34,3
1187,397,50
1188,37,125
1189,240,67
1190,1,5
1191,1,0
1192,5,728
1193,79,442
1194,0,1255
1195,0,0
1196,1,31
1197,6,161
1198,0,0
1199,2,1
1200,0,0
1201,6,56
1202,0,4
1203,17,7
1204,141,12
1205,1284,4
1206,50,4068
1207,19,4
1208,58,61
1209,952,54
1210,942,10
1211,203,19
1212,0,26
1213,0,0
1214,1,0
1215,77,1
1216,2,21
1217,26,75
1218,1,4
1219,60,4
1220,1,20
1221,1477,2762
1222,2,0
1223,12,0
1224,0,0
1225,1,31
1226,17,2
1227,8,3
1228,10,0
1229,9,2
1230,832,115
1231,1,4
1232,2,1
1233,0,0
1234,1,18
1235,16,147
1236,2,0
1237,0,0
1238,5,2
1239,120,2144
1240,5,0
1241,5,298
1242,132,87
1243,1,48
1244,0,1
1245,0,38
1246,4,3
1247,1,5
1248,63,6
1249,2,4
1250,32,2
1251,6,0
1252,0,0
1253,141,0
1254,7,1
1255,123,217
1256,0,484
1257,4,206
1258,188,23
1259,4324,1
1260,242,2640
1261,19,2
1262,178,3
1263,168,1
1264,5517,2
1265,14,55
1266,1449,797
1267,0,0
1268,0,2
1269,0,16
1270,5,38
1271,0,3
1272,85,1755
1273,26,0
1274,2,1
1275,13,1
1276,3,1
1277,1,5
1278,0,4
1279,22,1
1280,1,2
1281,0,0
1282,9,300
1283,1,3
1284,1,2
1285,0,130
1286,1746,4
1287,7,22
1288,0,1
1289,5,1
1290,3,9
1291,0,1
1292,0,3
1293,1,0
1294,5,239
1295,991,958
1296,4,214
1297,4,0
1298,13,1
1299,9,8
1300,392,2
1301,273,896
1302,0,1
1303,328,2
1304,95,1
1305,453,0
1306,59,5
1307,130,31
1308,32,9
1309,4,5
1310,0,0
1311,25,222
1312,2,26
1313,12,34
1314,51,41
1315,5,21
1316,4,9
1317,0,0
1318,0,146
1319,1,24
1320,26,394
1321,2,22
1322,123,11
1323,2,1
1324,3,112
1325,32,0
1326,0,21
1327,3,20
1328,16,0
1329,0,0
1330,25,0
1331,293,18
1332,6,27
1333,0,83
1334,37,2068
1335,28,2147
1336,0,5
1337,179,0
1338,1,11
1339,1,1
1340,162,493
1341,14,0
1342,11,4363
1343,0,0
1344,2,0
1345,16,8
1346,0,355
1347,3,0
1348,13,12
1349,9,2
1350,4,0
1351,0,4
1352,108,1
1353,132,14
1354,270,1051
1355,0,0
1356,2,7
1357,120,54
1358,0,0
1359,0,1569
1360,0,29
1361,1,3
1362,200,0
1363,0,33
1364,1,1
1365,3,31
1366,0,19
1367,4,1
1368,0,1
1369,17,1153
1370,3,2
1371,25,418
1372,0,2
1373,4,3
1374,3,0
1375,1,3
1376,3,2
1377,2,2
1378,30,7
1379,31,0
1380,488,7
1381,1,4
1382,0,3
1383,0,1
1384,164,209
1385,8,0
1386,10,0
1387,17,4
1388,4,15
1389,0,1
1390,23,16
1391,114,108
1392,6,1
1393,2,1
1394,1,0
1395,8,9
1396,3,1
1397,2,18
1398,0,1
1399,0,5
1400,7,28
1401,1,5
1402,0,8
1403,5,0
1404,2,1
1405,9,1
1406,144,7
1407,493,3
1408,604,5
1409,616,5
1410,607,1
1411,841,4
1412,182,0
1413,6,1
1414,0,1
1415,5,14
1416,1,9
1417,117,27
1418,5,23
1419,2,1
1420,270,203
1421,0,516
1422,0,8
1423,28,2
1424,7,0
1425,201,232
1426,5490,439
1427,0,4
1428,14,13
1429,17,65
1430,43,14
1431,13,6
1432,18,3
1433,10,3
1434,0,24
1435,19,15
1436,4,31
1437,3,5
1438,6,7
1439,1,6
1440,2,503
1441,687,41
1442,4,2
1443,214,309
1444,1567,0
1445,0,22
1446,1357,5845
1447,1,42
1448,2,72
1449,5,4
1450,4,11
1451,1,3
1452,28,2
1453,7,9
1454,1,1219
1455,0,189
1456,1376,3387
1457,699,104
1458,0,9
1459,96,35
1460,5,7
1461,9,16
1462,1,10
1463,4,37
1464,0,2
1465,2,130
1466,175,389
1467,138,2
1468,620,0
1469,519,11
1470,2,5
1471,70,2
1472,5,1
1473,682,86
1474,1248,355
1475,1,108
1476,1,4
1477,1371,6
1478,1,1
1479,14,6
1480,34,265
1481,7,2
1482,12,62
1483,86,32
1484,0,810
1485,0,231
1486,14,6
1487,0,0
1488,114,84
1489,10,21
1490,0,0
1491,29,5
1492,3,7
1493,37,113
1494,506,43
1495,120,265
1496,9,0
1497,5,52
1498,84,43
1499,8,1
1500,4,0
1501,1,23
1502,305,14
1503,26,3
1504,13,156
1505,313,6
1506,320,1208
1507,20,0
1508,8,91
1509,4,233
1510,1,160
1511,15,37
1512,1127,35
1513,12,1
1514,0,0
1515,7,0
1516,2,14
1517,35,5
1518,23,0
1519,5,282
1520,0,112
1521,1,77
1522,0,11
1523,0,41
1524,510,864
1525,352,0
1526,236,30
1527,5,0
1528,61,0
1529,8,1
1530,9,0
1531,720,2
1532,1,0
1533,0,6
1534,40,44
1535,2,11
1536,0,2
1537,0,27
1538,470,1747
1539,907,6317
1540,0,3
1541,42,2
1542,2,7
1543,24,1056
1544,453,153
1545,26,0
1546,139,535
1547,3,179
1548,1,1384
1549,3665,2
1550,2,14
1551,2,0
1552,3,5
1553,0,144
1554,120,2
1555,302,242
1556,0,5
1557,1,1
1558,9,1
1559,451,774
1560,5,8
1561,167,21
1562,114,31
1563,1,190
1564,9,7
1565,45,70
1566,0,4
1567,26,282
1568,19,164
1569,2,0
1570,0,2
1571,0,6
