,afemur,atibia,bfemur,btibia
5155,10666,3009,10641,3795
5156,11891,4705,11925,5405
5157,13537,5795,13675,6496
5158,15316,7286,15543,8526
5159,17927,9254,16776,9454
5160,19360,10938,19200,10809
5161,17109,12144,20378,11756
5162,16702,13193,17488,12292
5163,16633,13323,17310,12238
5164,17199,13262,18011,11653
5165,18336,12333,19413,11542
5166,20093,12175,21461,11012
5167,23232,12779,24099,10213
5168,24926,12029,25596,9940
5169,25761,11723,25468,9382
5170,25439,11431,24628,9005
5171,18868,10567,17427,8284
5172,15132,9001,13215,7091
5173,11286,7943,9536,6139
5174,5316,6197,4047,4902
5175,3824,0,5429,0
5176,6709,40,8650,2642
5177,8502,569,11576,4653
5178,9906,1937,12998,6046
5179,11472,2088,14284,7664
5180,14365,4983,15948,9540
5181,16166,6731,17405,11527
5182,17647,6877,19111,12844
5183,19091,6868,19124,14968
5184,19950,6557,19075,15827
5185,18533,9335,18782,16506
5186,19135,8228,19575,17118
5187,19299,12824,19472,17430
5188,19571,11310,19641,17294
5189,19812,6397,20930,15595
5190,21561,10445,24436,18273
5191,23380,13816,25757,18309
5192,26214,17318,27177,17863
5193,27620,18226,28330,18163
5194,29202,18402,28594,17236
5195,29197,18095,28585,15658
5196,29259,17687,26525,13502
5197,26827,17319,24360,10596
5198,8123,1368,3527,0
5199,9751,2928,8165,1611
5200,11397,4386,10409,3547
5201,12801,6239,11844,4662
5202,14133,8226,13285,6414
5203,15399,11209,15035,8485
5204,16418,13260,16260,10282
5205,17298,14984,17294,15347
5206,16650,16359,15872,17656
5207,16015,17784,14360,19895
5208,15161,18320,13411,20985
5209,15017,18470,12819,21476
5210,14515,18796,12627,21210
5211,14786,18992,12987,21172
5212,15532,18829,14040,20782
5213,17210,18111,16083,19959
5214,19429,17343,18379,17585
5215,20676,15446,19732,14907
5216,21390,13000,20339,11760
5217,21308,11296,19945,10120
5218,18257,10034,17150,8883
5219,15949,8853,14674,7883
5220,13918,7599,11727,6868
5221,4905,0,3191,0
5222,8373,393,7725,0
5223,10346,2587,10157,803
5224,11986,3423,11842,4397
5225,13407,5493,14015,5385
5226,14619,6758,16007,6824
5227,16056,8456,17219,8746
5228,16439,9498,18373,9914
5229,16114,10965,21050,11784
5230,16091,12049,20436,12604
5231,16988,12508,18480,13318
5232,16718,12543,18129,13929
5233,17017,12368,17693,13558
5234,18363,12597,18137,13040
5235,20809,12245,19248,12290
5236,23123,11762,21359,11726
5237,25232,11289,23321,11148
5238,26079,10779,23959,10369
5239,25745,10742,19136,9650
5240,19699,9059,16833,8528
5241,16410,8023,15092,7392
5242,13367,6806,12774,6360
5243,9773,5549,8587,5286
5244,11665,1305,5666,0
5245,14117,3781,10231,0
5246,16007,5190,12934,207
5247,17479,5969,15150,3308
5248,18617,6721,17186,5426
5249,19300,8301,19055,6344
5250,19314,10156,20104,7711
5251,18600,11278,22233,8988
5252,19053,12333,19494,10414
5253,18594,13770,19006,12248
5254,18539,13930,18282,13423
5255,18563,14548,17978,14160
5256,19551,14317,18324,14325
5257,21267,15417,18971,14580
5258,23670,15190,20748,14866
5259,25064,15286,22865,14494
5260,26108,15183,24757,14102
5261,26348,15091,25591,14248
5262,25125,14672,25604,14025
5263,18769,14419,20461,13681
5264,15658,13337,17470,13264
5265,11145,11134,14712,12547
5266,5463,8814,10294,11205
5267,933,0,0,0
5268,5580,0,6472,0
5269,9808,0,11371,350
5270,11417,247,12266,1861
5271,12389,1456,14123,2747
5272,14098,3156,16418,4158
5273,15922,4950,20146,5459
5274,17013,5916,21209,6662
5275,18688,7539,19789,8182
5276,17688,8857,18239,9557
5277,16722,10205,17831,12112
5278,16620,11804,18187,11659
5279,17005,12751,19115,12005
5280,17699,12133,20531,12998
5281,19741,13496,22777,13740
5282,21713,14114,23204,13535
5283,22329,14279,23070,12992
5284,22343,13594,17475,12698
5285,18912,13444,15143,11973
5286,15472,12287,12918,10943
5287,12218,8797,10365,8891
5288,9932,7590,6412,7852
5289,5258,6401,2523,6404
5290,5802,83,4083,489
5291,10747,1113,8797,2687
5292,13069,3255,11695,4401
5293,14901,4927,13607,6477
5294,16593,6480,15499,7917
5295,18042,7364,17032,9879
5296,19128,8896,18861,12872
5297,20001,11077,19849,15841
5298,19466,13633,19347,17611
5299,16947,16751,17043,18408
5300,15893,18096,15896,19132
5301,15100,18567,15074,18773
5302,14947,19201,14857,19653
5303,15039,19647,14936,20211
5304,16149,20015,15940,20214
5305,18134,20252,18059,19737
5306,20599,20618,20180,19241
5307,22397,19737,21952,15921
5308,23353,19261,23138,14421
5309,23917,16339,23683,10943
5310,24275,11811,23483,9309
5311,21538,9769,20521,8459
5312,14155,7980,15078,7266
5313,0,0,0,0
5314,0,0,1001,0
5315,9335,0,8510,1594
5316,11649,1060,11248,3990
5317,13837,2238,12775,6065
5318,15593,4310,14428,7543
5319,17600,6309,15808,10544
5320,20315,7761,16714,12673
5321,20545,9971,17549,14625
5322,17746,13514,16930,15999
5323,16821,13786,15790,16772
5324,16131,14640,15138,16717
5325,16265,14570,14766,16604
5326,16923,14391,15150,16609
5327,18949,14202,16439,16350
5328,21180,14929,18734,15833
5329,23379,14428,21125,13265
5330,24012,14204,23102,10989
5331,23675,13578,24554,9388
5332,18719,11863,25401,8505
5333,15204,9639,24499,7455
5334,11390,8438,16085,6698
5335,7721,7194,10905,5136
5336,4715,0,7027,0
5337,10400,0,11106,0
5338,12189,1854,13496,1721
5339,14681,4483,16108,4983
5340,17669,5811,18984,5987
5341,19521,7363,21809,7334
5342,21219,9403,26127,8768
5343,22142,10659,26725,10141
5344,24404,11887,25819,10842
5345,22123,12537,22219,12111
5346,20956,13375,21288,13748
5347,20579,13800,20165,13942
5348,20037,13783,20079,13270
5349,20239,13987,20778,13239
5350,21522,14298,22354,13529
5351,24881,14776,26198,14455
5352,26749,14876,27046,14078
5353,27472,14705,27343,13840
5354,28841,14517,27117,13661
5355,29719,13726,27326,13414
5356,29528,12704,22017,12135
5357,21959,11473,17231,11195
5358,16379,9358,14953,9620
5359,9267,1188,0,21
5360,12458,2253,9123,2005
5361,14906,5807,12353,4020
5362,16344,7388,14533,6699
5363,18092,10473,16617,8334
5364,20029,11749,18497,9506
5365,21151,12073,20500,10670
5366,22214,13008,22716,11743
5367,23272,11394,24209,12166
5368,20438,12775,22701,12819
5369,20653,14975,21017,13867
5370,20207,14583,20817,13899
5371,20094,13892,20885,13632
5372,20318,13716,20832,12731
5373,21178,13415,21602,12852
5374,24083,13512,23011,12829
5375,27824,12976,26050,12691
5376,29200,12601,28522,12211
5377,26999,11691,29648,11954
5378,29675,10992,29939,11132
5379,29380,9768,28537,10680
5380,22306,8910,23344,9807
5381,16681,8022,20337,8507
5382,5622,0,2020,0
5383,8396,1574,7439,1130
5384,10444,3326,9348,2979
5385,11716,5243,11115,4710
5386,13059,6807,12448,6173
5387,14059,8485,13571,7479
5388,15051,10027,14382,9311
5389,15822,11086,15174,11031
5390,15485,11596,15663,12081
5391,17064,12766,15835,13111
5392,17778,13142,16316,13965
5393,17502,12903,16137,14270
5394,17579,12811,16366,14592
5395,18290,12937,16834,14407
5396,19656,12593,17840,14352
5397,22309,12014,20031,13790
5398,24468,11481,22377,13286
5399,25848,10547,23891,12741
5400,26197,9883,24546,11159
5401,22245,8531,23740,9548
5402,16355,7622,18208,8125
5403,13153,6558,13781,7147
5404,8925,5561,9497,6022
5405,11456,469,12589,1832
5406,14036,1266,15190,4897
5407,16302,5370,17066,7988
5408,17962,7188,19186,8579
5409,20138,8340,20680,9579
5410,22417,9926,22935,10339
5411,25504,11298,25843,12203
5412,27269,12583,26562,12957
5413,26340,13561,24375,13710
5414,24111,14282,22926,14188
5415,23072,15562,22169,14317
5416,22555,15294,22095,14517
5417,22629,14849,21980,14447
5418,23374,14919,23131,14776
5419,24553,15335,26496,15250
5420,27602,15625,28141,14824
5421,29460,15083,29865,14688
5422,30285,15219,30643,14219
5423,30937,14923,30530,14010
5424,29366,14730,28561,14122
5425,25663,14706,24336,13721
5426,22179,14314,21481,13892
5427,19547,13771,18583,13862
5428,11654,254,7493,0
5429,13645,691,9606,0
5430,16867,3137,11869,1640
5431,17374,5750,13421,3469
5432,18815,7700,15237,5803
5433,19885,9372,16372,7582
5434,20431,11374,17533,9084
5435,20848,12990,18552,10185
5436,19746,14718,18782,12707
5437,20753,15171,18570,13641
5438,21386,16288,19666,14742
5439,21634,17658,21249,16543
5440,22433,18361,20668,17910
5441,22681,18610,21216,18889
