,afemur,atibia,bfemur,btibia
8359,14337,12539,16811,14731
8360,15157,14142,17057,15794
8361,15756,14685,17120,15860
8362,16837,14309,17543,16219
8363,17737,15677,18500,17237
8364,19589,16188,21925,17758
8365,24157,15566,24104,17446
8366,25445,15618,25122,17258
8367,26777,14917,25720,16179
8368,28344,13191,25221,14734
8369,28781,10608,23425,11417
8370,27873,9106,19576,9805
8371,24661,8297,17243,9169
8372,5749,634,4191,310
8373,8776,2217,8090,904
8374,11287,3917,10419,2280
8375,13278,6208,12938,4327
8376,15088,8579,15490,7163
8377,16434,10279,17556,10011
8378,18700,11467,22257,10776
8379,22971,12043,24296,11914
8380,20749,12841,23607,12814
8381,20120,13225,20723,13290
8382,19285,14293,19988,14032
8383,19190,13932,19687,14180
8384,19348,13948,19780,13889
8385,20788,13398,21245,13514
8386,23733,12882,24138,13091
8387,25936,12263,26430,12483
8388,27711,11322,28152,11841
8389,28664,10419,29192,10978
8390,29210,9939,27893,9824
8391,26210,7734,21962,8604
8392,15881,6427,16167,7697
8393,10564,5701,11419,6184
8394,3935,3709,6222,5104
8395,7266,0,8544,0
8396,10444,686,11671,481
8397,12164,3084,14038,2689
8398,14026,4896,15788,4505
8399,15992,6573,17581,6096
8400,18006,8448,19149,7634
8401,19667,10312,21365,8805
8402,21873,11661,23885,10473
8403,23014,12801,22633,11637
8404,21193,13659,20068,12758
8405,19935,14077,19525,13437
8406,19362,14354,19251,13728
8407,19223,14086,19009,13902
8408,19618,13511,20077,13303
8409,21337,13354,23007,13715
8410,23783,13437,25209,13677
8411,26634,12885,27419,13074
8412,28746,12759,28756,13221
8413,29582,11680,28580,12722
8414,29503,10791,27130,11766
8415,26414,9739,20783,10994
8416,20057,8811,16847,10142
8417,15571,7777,12417,8724
8418,13023,4498,12351,4381
8419,14801,6436,14683,6672
8420,17141,8683,16726,7593
8421,19539,10977,18794,9543
8422,21625,12168,21113,12030
8423,23921,13334,23195,13072
8424,25629,14524,24592,14311
8425,25228,15517,25900,15486
8426,21867,16479,23521,16599
8427,20649,16415,21479,16651
8428,19953,15990,20727,16112
8429,19903,15651,20119,15834
8430,20231,16037,20171,15892
8431,21765,16315,20753,16150
8432,25051,15327,22712,15556
8433,27435,14802,26055,15183
8434,28822,14528,27910,14538
8435,29790,13941,29517,13946
8436,30050,13470,30521,13334
8437,29123,13094,30405,12813
8438,23393,11640,29451,12217
8439,19214,10388,23963,10708
8440,13632,9301,18545,9892
8441,10933,1969,10007,4021
8442,12839,4424,11923,5560
8443,14607,6712,13869,7697
8444,16202,8343,15723,10888
8445,17714,10263,17248,13026
8446,19239,12993,18250,15512
8447,20542,15329,19215,16743
8448,20004,16391,18005,17711
8449,19748,17173,19367,18950
8450,20231,18414,19553,19670
8451,20385,19961,19593,20581
8452,20280,21041,19996,21089
8453,20596,21557,20246,21534
8454,21483,22642,21915,21227
8455,24409,22301,25840,21346
8456,26258,22518,27363,21173
8457,27374,22187,28415,21151
8458,28184,22093,29588,20951
8459,29075,22074,30487,21063
8460,29696,21659,31150,19870
8461,30318,20835,31166,18897
8462,30060,20106,30805,15854
8463,28196,18064,28704,13630
8464,15545,4583,15081,3138
8465,17273,7050,17126,6307
8466,19402,8992,18953,7609
8467,21522,12064,20498,9912
8468,23143,13802,22053,11111
8469,26141,15594,22996,12632
8470,27106,16615,24261,13867
8471,25405,17343,22514,14831
8472,24215,17893,22461,16099
8473,23407,18127,22335,16369
8474,22816,18059,22063,17057
8475,22551,17871,22144,16482
8476,22651,16935,22494,16264
8477,23485,16840,23908,15869
8478,25350,16412,26071,16216
8479,29096,16218,29737,15518
8480,31182,15074,31305,14878
8481,32500,14364,32610,14216
8482,33142,13706,32890,13783
8483,32683,13205,31403,13272
8484,29291,13102,26532,13030
8485,24788,12797,22972,12782
8486,21394,11861,19396,12333
8487,5738,0,2886,0
8488,6973,30,6712,19
8489,8547,1365,9060,623
8490,10781,2799,11400,2073
8491,12252,4444,12743,4921
8492,12970,5760,14177,6119
8493,13577,7359,15157,7406
8494,13236,9456,16077,8514
8495,13573,11924,17559,10486
8496,15292,13583,17530,12366
8497,17426,14309,17815,13315
8498,17091,15472,17518,14438
8499,17082,15415,17276,15438
8500,17304,15391,17100,15362
8501,18689,16039,17767,15498
8502,21221,15965,19435,16048
8503,22742,16231,21805,16065
8504,23561,16040,22693,16416
8505,24286,15243,23310,16017
8506,23957,14017,23412,15514
8507,22907,11937,22868,14738
8508,19585,9214,18176,12417
8509,12701,7858,15875,9450
8510,14682,3376,15250,5727
8511,17106,5263,17405,7969
8512,20009,7233,19665,10689
8513,22976,9381,21944,11396
8514,25113,10128,24149,13274
8515,27126,11616,25842,14347
8516,29048,12950,27978,14543
8517,28881,13464,27380,15695
8518,25387,13954,25049,16212
8519,24164,15050,24706,17089
8520,22846,16161,23092,17152
8521,22266,15850,22917,16933
8522,21943,15412,22560,16208
8523,22079,14930,22753,16224
8524,23404,15246,23999,16520
8525,25499,15554,26696,15908
8526,27687,15259,27893,15425
8527,29272,14606,29567,14713
8528,30385,13605,31076,13773
8529,30485,13389,31956,13026
8530,27719,12753,31083,12101
8531,23987,12182,28003,10523
8532,21178,11377,24245,9444
8533,0,0,265,0
8534,864,0,4997,0
8535,5790,843,6586,856
8536,7042,4055,7832,2763
8537,8535,5305,9368,5144
8538,9655,6222,10877,6333
8539,10915,8408,12308,8333
8540,12123,9869,13349,10386
8541,12764,10959,14184,11626
8542,14528,11800,16166,12624
8543,15967,12621,15460,12100
8544,17450,13327,16714,14218
8545,17123,13170,16921,12667
8546,16634,12743,17520,13115
8547,17604,14350,17633,14398
8548,21593,14291,20668,15801
8549,21685,13929,21616,15498
8550,23002,13446,23557,14635
8551,24005,12758,23986,13519
8552,25870,11730,23526,12049
8553,24406,10639,20355,9597
8554,20066,8539,16262,7464
8555,16269,6706,12960,6450
8556,12044,2832,7925,0
8557,13735,5458,10876,3744
8558,15317,7344,12178,4234
8559,16668,9548,14211,6535
8560,17874,10311,15822,8797
8561,18686,11977,16943,10644
8562,19751,12830,17930,11511
8563,19357,13524,18415,12309
8564,19022,14928,18138,12851
8565,19277,15004,17169,14178
8566,19058,15035,18605,14889
8567,18810,14449,18535,14901
8568,19281,13553,18321,14220
8569,20367,12896,18472,13883
8570,22696,13096,19454,13098
8571,24785,12547,21680,12320
8572,26530,12061,23355,12308
8573,27193,11660,26071,11819
8574,26972,11084,27316,10968
8575,23178,10234,26980,10346
8576,18337,8565,24921,8890
8577,15551,7485,18155,7708
8578,12206,6533,14670,6879
8579,15788,4003,15537,4567
8580,17895,5729,17343,5756
8581,19759,7861,19154,8470
8582,21146,9504,21006,9963
8583,23200,10322,22495,11096
8584,24923,13034,23920,13480
8585,25161,14335,24491,15244
8586,22594,15842,22203,16884
8587,21555,17359,20455,18886
8588,20388,18474,19236,20083
8589,19692,19339,18610,20642
8590,19282,19049,18229,20787
8591,19296,18554,18312,21038
8592,19767,18908,18817,21709
8593,20845,20008,19958,21810
8594,23686,20159,22062,21757
8595,25816,19480,24379,20790
8596,27298,18686,26464,19712
8597,28315,17484,27360,18271
8598,28883,16319,27671,17158
8599,28357,15536,26438,13844
8600,24679,15069,22975,12249
8601,21562,13441,20502,11145
8602,12387,378,9146,1587
8603,16053,2621,12138,4354
8604,20664,4651,14591,7498
8605,22578,6572,16534,8419
8606,26211,9209,17641,11242
8607,27561,10974,19316,12953
8608,27295,13446,20531,13963
8609,25872,15043,21946,15035
8610,22021,16239,21370,16006
8611,20458,17919,20754,16565
8612,19883,17334,20687,16575
8613,19885,17806,20148,16460
8614,20591,17049,19711,16850
8615,21747,17496,20077,16482
8616,23379,17767,21169,16372
8617,25380,17094,22539,15702
8618,26530,16803,25531,15152
8619,27176,16172,27339,13555
8620,24208,15491,30050,12670
8621,21171,14524,30968,11034
8622,17847,11750,31379,9736
8623,14276,9912,29982,8571
8624,11531,7787,22968,7104
8625,0,0,4198,0
8626,4326,0,6632,0
8627,8687,0,9503,118
8628,10819,1860,11955,1320
8629,12473,4492,13819,3368
8630,14196,6287,15472,4716
8631,15364,7788,16982,6135
8632,16654,8797,18690,7703
8633,17181,9703,19016,9738
8634,15035,10384,18211,10937
8635,16797,10835,17653,12107
8636,17130,11842,17489,13340
8637,17716,11759,17778,13111
8638,18785,11624,18644,12835
8639,20894,11174,21126,13063
8640,23651,10256,23106,13041
8641,25745,10128,23978,12645
8642,26800,9875,22526,12163
8643,26585,9377,17886,11617
8644,20399,9105,15261,10769
8645,14528,8407,12259,9270
8646,10663,7107,8571,8574
8647,5623,6421,3633,7408
8648,14125,4282,15218,3601
8649,16772,5837,16741,5488
8650,17685,8134,18561,6995
8651,18922,9915,20302,8858
8652,20085,13288,22168,10844
8653,21641,15325,23916,13277
8654,22517,17580,23977,14975
8655,21426,18826,21212,17098
8656,18809,20318,19950,18172
8657,17807,22042,19127,19961
8658,16567,23200,18020,21142
8659,15366,23105,17203,20428
8660,14878,23241,17173,20495
8661,15356,23118,17964,21326
8662,16373,23637,19205,21620
8663,18252,23553,21851,21098
8664,21059,22624,24691,20555
8665,23518,21559,26998,20090
8666,25463,19450,27856,18837
8667,26861,16596,28035,17755
8668,27137,14709,25991,16716
8669,26117,12659,23237,13886
8670,22790,12000,19864,12761
8671,3756,0,0,0
8672,6902,0,5310,0
8673,8398,1237,7098,104
8674,10158,3085,8484,1438
8675,11634,4146,10280,2845
8676,12628,5462,11383,4285
8677,13403,6630,12611,5610
8678,13953,7693,13598,6504
8679,13105,9462,13774,8653
8680,13197,10635,13999,10153
8681,14931,12570,14151,12048
8682,16012,11840,15564,13809
8683,16281,13394,15915,14387
8684,18906,14372,16326,14536
8685,20281,14410,18937,14317
8686,21779,14162,20580,14132
8687,23127,14229,22323,14165
8688,23580,14071,23342,14060
8689,23337,13682,23526,13679
8690,22060,12962,21964,12817
8691,14904,9671,19172,10787
8692,12231,7971,13023,8053
8693,6305,6503,8424,6874
8694,8176,0,7923,420
8695,10218,2051,9747,1627
8696,11783,3539,11660,3144
8697,13143,5924,12982,5833
8698,13638,6854,14308,6506
8699,14594,8276,15498,7538
8700,15481,9436,16329,8947
8701,15544,11479,16952,10976
8702,16283,14018,17949,12604
8703,16146,15208,17945,14384
8704,16348,17255,17905,15910
8705,16164,17658,18102,16494
8706,16319,18035,18006,16082
8707,16568,18307,18491,17028
8708,17753,19330,18750,17862
8709,20866,19781,21398,18463
8710,22101,19948,23508,17800
8711,23440,19434,24645,18016
8712,24550,18994,25786,17649
8713,24890,17831,26527,16506
8714,24987,15445,26386,14740
8715,23599,11704,24975,11239
8716,22049,8904,19182,9476
8717,14657,3810,14216,50
8718,16938,5194,16148,4422
8719,18497,6252,18370,5707
8720,20769,8091,20510,7062
8721,23071,10317,22744,8675
8722,26026,12792,26081,10263
8723,26060,13924,27045,11266
8724,22778,15330,23960,12533
8725,21157,16985,23042,13601
8726,19930,18110,22358,14533
8727,19110,18206,21992,14978
8728,18969,18072,21882,14913
8729,19354,17932,22662,14829
8730,20578,18459,23519,15064
8731,23088,18865,25876,15290
8732,25510,18656,28315,14929
8733,27965,18083,29816,14395
8734,28835,17475,30142,13807
8735,28934,16854,28735,13141
8736,26136,15937,25437,12657
8737,21647,15370,21930,12414
8738,18987,13273,19518,12347
8739,15658,11518,16786,12122
8740,11095,2045,8928,3950
8741,13210,3624,12118,5838
8742,15179,6353,13882,6710
8743,16613,7778,15771,8573
8744,18079,9311,16744,12456
8745,19554,14358,17541,15686
8746,19358,15186,17544,17436
8747,17409,17810,14721,18869
8748,15007,18096,13227,19913
8749,13796,20391,12072,21247
8750,12893,20930,11546,22408
8751,12621,21925,10530,21992
8752,12841,21199,11071,21453
8753,14186,21510,11082,21816
8754,16068,20851,12436,20274
8755,18385,21887,14776,20098
8756,19919,20682,16393,18103
8757,21279,21080,17656,17343
8758,22171,16070,18549,16568
8759,22017,18643,19662,11294
8760,20086,15756,18729,10436
8761,17037,10099,16874,8606
8762,12689,8725,13951,7308
8763,11137,864,12513,4836
8764,12997,2969,14291,5745
8765,15069,5258,15713,8142
8766,16515,7026,17192,10045
8767,17752,8604,18565,11535
8768,19338,10319,19709,12441
8769,20247,11458,20350,13485
8770,20398,11981,18444,13998
8771,19627,12669,19804,15205
8772,19975,13406,19987,15168
8773,20098,13760,19727,14687
8774,19922,14636,19898,15029
8775,20087,14107,20501,14994
8776,21915,13492,21707,15113
8777,22954,13706,23028,14266
8778,25234,13782,26261,13662
8779,27498,13105,28754,13050
8780,30397,12094,30756,12285
8781,31400,11903,31655,11395
8782,31487,12026,30889,10600
8783,30191,11352,22980,9422
8784,23324,10728,18838,8139
8785,18929,9905,13270,6936
8786,8728,109,4708,0
8787,11095,2751,10917,882
8788,13472,4260,13921,2578
8789,15398,5972,16568,4336
8790,17015,8454,18915,6795
8791,18829,11046,21010,8645
8792,20313,13492,21676,10732
8793,20102,18233,21997,14039
8794,18031,19926,19931,16971
8795,16036,22249,16789,20003
8796,15438,23282,15231,22405
8797,14647,22659,13914,23257
8798,14960,22861,13877,22968
8799,17062,22922,14319,23447
8800,19663,22427,16852,24356
8801,21346,21305,19812,23824
8802,23276,20235,20902,22902
8803,24516,17540,22018,21057
8804,24490,13667,22526,19161
8805,23781,11059,20941,15385
8806,20756,9896,18050,12372
8807,16000,8366,14823,10798
8808,10085,6866,10239,9136
8809,13439,3563,13098,2698
8810,15163,4920,14928,5069
8811,16494,6789,16303,6380
8812,17899,8270,17616,7785
8813,18964,10201,18916,9546
8814,19594,12092,19851,11621
8815,18979,14664,20599,15830
8816,18290,17361,18525,16821
8817,17950,18988,18427,18913
8818,17474,21212,17705,21372
8819,16764,22301,17223,22102
8820,16123,22391,16751,22775
8821,16190,22034,16407,23596
8822,16786,23436,16636,23349
8823,17781,23247,17501,23047
8824,19949,22425,19482,22466
8825,22669,21838,22099,21630
8826,24513,20644,24283,19720
8827,25742,18978,25773,18131
8828,26649,18077,26915,15601
8829,26106,14963,26912,14387
8830,24258,15063,25130,12439
8831,20292,13096,21084,12003
8832,517,0,0,0
8833,4882,0,0,0
8834,7320,1159,5342,0
8835,9086,2891,6648,227
8836,10617,5101,8358,2814
8837,11950,6410,9684,5325
8838,13435,8200,10870,6263
8839,15162,10269,12040,7864
8840,16753,12338,12939,9428
8841,17035,13840,13751,11964
8842,17292,15426,16080,13581
8843,17299,17136,16770,14961
8844,16894,17950,17103,15818
8845,16398,17960,17243,15886
8846,15978,18818,17318,16187
8847,18157,18669,17668,17295
8848,19975,18518,19484,17229
8849,21549,18364,20888,17484
8850,22325,17388,21975,17605
8851,22314,14611,22665,16657
8852,21801,11471,22495,16040
8853,17411,9470,21793,12413
8854,15750,8365,19845,10767
8855,0,0,0,0
8856,7492,1389,0,0
8857,10758,6529,9818,3877
8858,12555,6415,12027,5185
8859,14591,7415,13691,6382
8860,16015,9149,16008,8500
8861,17190,10135,17435,9573
8862,17648,11016,18547,10666
8863,18051,12099,19420,11425
8864,19226,12716,19782,12523
8865,19241,13564,19896,13587
8866,19043,13496,19936,13371
8867,19411,12787,19851,13015
8868,19822,13534,20239,12914
8869,21148,13234,21358,13140
8870,23536,12698,23197,12573
8871,25019,12761,25269,11994
8872,26091,12408,26276,11373
8873,26330,10202,26633,10978
8874,24710,9505,26141,8860
8875,18807,7462,22575,7914
8876,12953,6439,15380,6769
8877,8826,4716,10019,5284
8878,0,0,5060,0
8879,9900,280,10078,1277
8880,12291,3674,12376,3658
8881,14119,4890,14049,5852
8882,15950,7421,15710,7587
8883,17707,10294,17668,8782
8884,19378,13867,19552,10800
8885,19993,17036,20502,13273
8886,19101,19274,19587,14616
8887,15995,20959,18469,16045
8888,14944,22231,18039,16936
8889,13982,21793,17605,16877
8890,13736,23623,17544,16998
8891,14289,23534,18086,17560
8892,15459,22932,19905,17241
8893,17950,21413,22941,16542
8894,20362,19444,24448,15731
8895,21731,16178,25519,14689
8896,22478,12676,25691,11997
8897,22312,10800,26075,10477
8898,21044,9516,19826,8802
8899,15689,8496,14080,7784
8900,11279,7187,8231,6928
8901,6279,308,3018,0
8902,8904,342,7644,11
8903,11812,1935,10512,759
8904,13532,3559,12356,1786
8905,15291,4618,14047,3036
8906,16489,6524,16021,4379
8907,17852,7144,16996,6009
8908,19220,9012,19617,6973
8909,21516,10447,20482,8323
8910,18761,11303,19421,10046
8911,18656,12573,19027,11091
8912,18379,13437,18683,13144
8913,18595,12669,18877,14012
8914,19378,13529,19448,13534
8915,21471,14005,20630,14172
8916,23543,13640,23285,14091
8917,24620,13371,23960,14034
8918,24937,12690,24979,14475
8919,23665,12316,19649,14347
8920,18251,10739,17116,13669
8921,15927,8946,15378,12581
8922,12790,7545,12666,9579
8923,8267,6469,8304,7567
8924,3355,0,6943,0
8925,7066,0,9040,882
8926,8698,276,11180,3525
8927,10073,2335,12677,4466
8928,11428,3889,13686,6751
8929,12551,5496,14503,7549
8930,12625,6667,15586,8998
8931,14081,8437,16228,11033
8932,13373,10150,15131,12709
8933,13291,12239,17603,13766
8934,14790,13253,17651,14670
8935,16123,13506,17849,15619
8936,16949,14623,17535,15416
8937,16906,15587,17793,14977
8938,20042,15516,20354,15452
8939,21620,15593,22533,15444
8940,22746,15472,24091,14971
8941,24023,15387,25164,14819
8942,24588,15324,25785,14150
8943,24364,15007,25509,12685
8944,22809,14367,24348,9920
8945,15860,11524,18068,8311
8946,11806,9082,15089,7433
8947,5662,0,5056,0
8948,8592,394,8922,737
8949,10705,3292,11674,3105
8950,12417,5439,13567,4984
8951,13653,7736,14823,5856
8952,14629,9175,16306,8605
8953,15650,9901,17499,10049
8954,15097,10639,19164,10180
8955,15107,11310,19597,11667
8956,15747,12036,20425,12920
8957,18671,12314,20435,13228
8958,19113,12411,20706,13306
8959,19872,11569,20836,12580
8960,20574,11488,21164,12491
8961,21664,11674,22125,12405
8962,23548,11378,23431,12410
8963,25566,11327,24860,12070
8964,27713,10892,26338,11875
8965,28872,10078,26125,11670
8966,28953,9445,23214,10796
8967,27838,8897,18844,10230
8968,22163,7758,15948,9885
8969,12831,6643,12026,7954
8970,9387,461,0,0
8971,12255,1390,9852,1359
8972,14693,3038,13080,2596
8973,16699,5248,15101,5041
8974,18575,6008,17494,6308
8975,21112,8598,19134,8194
8976,22586,9859,21587,9208
8977,23453,11063,22997,11440
8978,20893,12139,22263,12132
8979,19663,13032,19793,13394
8980,18637,14464,18585,14767
8981,18249,14811,17647,14946
8982,18456,14699,17291,15339
8983,19650,14405,18118,15527
8984,21278,14873,19257,16022
8985,23601,14646,22564,16165
8986,24332,14251,23557,15564
8987,24424,13406,24448,14628
8988,20270,12592,23512,14041
8989,19179,11154,19851,12526
8990,15872,9946,18114,9902
8991,12218,8422,15195,8492
8992,8073,7675,11088,7342
8993,0,0,0,0
8994,2709,0,2072,0
8995,5016,0,4506,0
8996,7059,211,6382,376
8997,8700,1277,7471,2195
8998,10417,3123,8799,3236
8999,11588,4311,9980,4711
9000,12348,5531,10596,6214
9001,13736,6810,11244,8318
9002,15058,7134,11647,8979
9003,16686,9349,13595,11007
9004,18515,10032,15439,11832
9005,19050,11360,16888,12898
9006,20195,12097,17558,13496
9007,21063,12436,19429,13477
9008,24263,12792,22223,13866
9009,25241,12574,23523,14010
9010,25134,13026,24616,13954
9011,23953,13202,24794,13636
9012,21539,12967,24117,12678
9013,16845,12372,23104,10855
9014,13423,10856,14399,8083
9015,8687,7276,8292,6296
9016,0,0,0,0
9017,4864,0,3348,0
9018,6481,0,6010,0
9019,8509,0,7166,255
9020,10249,1843,8485,1780
9021,11747,3262,9754,3405
9022,12949,5047,10839,4875
9023,14229,6648,11197,5915
9024,16065,7604,12038,7490
9025,17136,9301,13707,9575
9026,17492,11027,15449,11380
9027,18068,12834,16145,12596
9028,18534,14199,16735,13906
9029,18793,14904,17351,14723
9030,19875,15742,17873,15456
9031,22160,16051,18469,15658
9032,23175,16240,21226,15600
9033,24318,16393,22717,15921
9034,24378,16288,23526,15633
9035,24269,15921,23474,15273
9036,21276,15492,22168,14195
9037,16059,14552,19866,12446
9038,13609,11905,13462,9297
9039,9409,0,9363,517
9040,11299,421,11722,2177
9041,13252,3905,13628,4623
9042,15160,5903,15495,7345
9043,17290,7986,18105,9401
9044,18694,9923,20003,11676
9045,19577,12160,23161,14619
9046,20948,14272,24244,16223
9047,22029,16232,24531,18437
9048,20962,17644,22554,20046
9049,21169,19003,21950,21127
9050,21395,20155,21513,22157
9051,20995,21431,20757,21688
9052,20606,22029,19690,22300
9053,20418,22037,19508,21894
9054,20790,21326,20348,22703
9055,24656,21824,23309,23036
9056,26740,21366,25870,22851
9057,28395,21207,27066,22472
9058,29652,20954,28074,22131
9059,30404,20920,28298,21827
9060,30264,19750,27476,20895
9061,29578,18467,25523,19087
9062,11169,1319,10536,2791
9063,13441,2924,12426,4428
9064,15152,4575,14562,6145
9065,17000,6014,16267,7414
9066,18793,7837,17903,8842
9067,20372,8623,19657,10311
9068,22107,9977,21047,11306
9069,23622,11227,21678,12432
9070,21716,12488,21679,13321
9071,20819,13678,21604,14174
9072,20357,14997,21064,14898
9073,19945,15269,20030,15304
9074,20160,15030,19874,15066
9075,20783,14875,20120,14566
9076,21829,14751,21079,14843
9077,23694,15151,22226,14604
9078,26381,15036,24285,14676
9079,28162,14729,26903,14393
9080,28975,14315,28624,13850
9081,28781,13708,29570,13322
9082,25820,13484,29205,12494
9083,23430,13143,26293,11178
9084,19597,11580,20955,9899
9085,14656,1033,14558,1757
9086,16664,2101,16328,3770
9087,19130,4284,17994,7006
9088,20985,6456,19546,7485
9089,22777,8622,21408,10671
9090,25122,10274,22809,13958
9091,25775,13148,23915,14278
9092,24117,14648,23433,16622
9093,22441,16054,21702,18444
9094,21524,17183,21185,19283
9095,20966,17869,20495,20097
9096,20713,19209,20125,20390
9097,20968,19101,19960,20364
9098,21723,18565,20172,18335
9099,22743,19113,21395,19537
9100,25416,20038,22868,20810
9101,27282,19934,26039,20485
9102,28572,19480,27634,19717
9103,29628,19191,29430,19441
9104,29913,19002,30480,19049
9105,29095,18015,30707,17990
9106,25712,16999,30263,16522
9107,20969,16047,29292,14254
9108,1979,0,6372,0
9109,9215,789,9251,1135
9110,10511,3695,10715,3131
9111,11375,4932,11905,5225
9112,12262,6109,13081,6434
9113,12901,7415,13761,7684
9114,13111,8717,14205,9303
9115,12837,10665,14739,11381
9116,12814,12463,13886,13189
9117,13417,13276,14633,13299
9118,14213,15207,15576,16784
9119,16037,16244,16718,17554
9120,17783,17677,17503,19474
9121,19068,18253,17957,20572
9122,20903,19071,18360,20225
9123,24149,19419,21359,20804
9124,25433,19731,23323,21291
9125,25814,19302,24060,21209
9126,26079,19141,25002,21035
9127,26320,17637,25799,19872
9128,25969,16182,25933,18101
9129,24927,14740,25673,16217
9130,22761,12387,24187,13571
9131,1463,0,1068,0
9132,5663,0,5032,0
9133,7255,1552,6637,29
9134,8960,3090,8538,2172
9135,10378,5106,9829,3288
9136,11801,6279,10736,4688
9137,12808,7602,11584,6075
9138,13670,9131,12476,7559
9139,12776,9818,11768,9061
9140,12587,12217,11820,10674
9141,13417,13616,12590,11907
9142,14841,14552,13871,13239
9143,16840,15260,16088,13331
9144,17443,15382,17132,13777
9145,21161,15344,18272,14079
9146,23294,14955,22398,14101
9147,24661,14666,23698,14406
9148,25829,14342,24909,14639
9149,26306,13968,25662,13886
9150,26510,12505,25257,12922
9151,24471,10036,23319,11335
9152,17565,6726,18049,8330
9153,12567,5168,10063,6186
9154,10528,2186,9814,1406
9155,11886,4853,11259,3713
9156,12773,5637,12632,5502
9157,13574,7427,13753,6769
9158,14145,8992,14551,7467
9159,14794,11056,15125,9085
9160,15516,12618,14958,10441
9161,14780,13922,15687,13320
9162,16275,15181,16561,15292
9163,17559,16265,18363,16932
9164,19352,17369,19147,17758
9165,20063,17519,20246,18592
9166,20509,17758,20401,19157
9167,21494,17395,21408,19007
9168,22590,18195,23622,19559
9169,26156,18640,25598,20005
9170,28343,18564,27024,20153
9171,30121,19081,28597,20156
9172,31321,18641,29591,20505
9173,31779,17455,29747,20053
9174,31370,16175,28868,18969
9175,29661,14501,25143,17315
9176,24113,12840,23238,15318
9177,2383,0,3125,0
9178,7709,0,7906,0
9179,10362,4423,9882,3046
9180,12710,6362,11657,4620
9181,14423,6843,13372,6650
9182,15853,7432,15173,8102
9183,17766,8814,16540,9757
9184,18572,9793,18142,10750
9185,20073,10702,18614,11851
9186,19311,11698,18924,12380
9187,18605,12979,19438,13057
9188,18685,12799,18335,13251
9189,18652,13206,18074,13311
9190,19399,13100,18998,13116
9191,20322,12677,20327,12795
9192,22112,12632,22177,12488
9193,24582,12003,24063,11848
9194,25819,11374,25113,11184
9195,24300,10544,25200,10077
9196,20838,9893,20732,9893
9197,18686,10390,18171,9506
9198,14657,9387,14812,8813
9199,11703,8146,11013,7570
9200,5070,0,7321,0
9201,9695,0,8867,1794
9202,11783,1010,10321,4091
9203,14247,1582,12174,6840
9204,15653,5572,13241,8502
9205,17077,7438,14197,9958
9206,18329,8885,15063,11835
9207,19171,11016,15655,13422
9208,19238,12647,15663,14247
9209,20855,13681,15836,15026
9210,21361,14758,17214,16009
9211,21708,15341,18280,16724
9212,21611,15855,19442,17348
9213,21662,16871,19901,17290
9214,22423,16491,21956,17740
9215,26362,15922,24402,17773
9216,27364,15651,25870,17870
9217,28073,15916,26592,17372
9218,28568,15826,28307,16904
9219,28637,16237,29109,15832
9220,27514,16000,29126,14468
9221,24422,14999,28572,12332
9222,22206,13860,25533,9688
9223,14360,703,14693,3542
9224,16335,1656,16501,5909
9225,18857,4882,18123,7782
9226,20451,8096,19719,9718
9227,22769,8727,20851,11554
9228,25751,9320,22077,12618
9229,27432,10977,23249,13536
9230,29841,14487,23812,14609
9231,28075,15161,24099,15428
9232,22585,17233,22995,16380
9233,21156,17595,22074,17167
9234,20640,18586,21659,17635
9235,20460,20672,21601,16691
9236,20349,21176,21799,16278
9237,21495,21049,23101,16004
9238,24314,21826,25952,16364
9239,27680,21340,28739,15447
9240,29054,20065,31134,14851
9241,30784,19460,32989,13894
9242,31751,18418,34563,13257
9243,32914,17923,35057,13096
9244,32099,16239,34800,12614
9245,29236,14804,31199,12262
9246,5274,0,4663,0
9247,7014,0,7171,357
9248,8954,1154,8786,673
9249,10563,3016,10743,2412
9250,11991,4691,12713,4804
9251,13446,6130,14277,6066
9252,14384,7045,15635,6759
9253,14827,8097,16232,8013
9254,14905,9926,16501,9874
9255,15981,11206,17086,11769
9256,16989,12548,17357,13230
9257,17144,13020,17454,14131
9258,17422,13077,17375,14673
9259,19153,13651,18204,14719
9260,21518,14013,21579,14998
9261,22880,13678,22684,14710
9262,24701,13736,24329,14772
9263,25834,13770,25155,14626
9264,26059,13320,24706,13937
9265,25113,12498,22928,12701
9266,22786,10363,18244,9806
9267,16579,7751,15018,7906
9268,10629,6425,10903,6765
9269,10022,0,10719,3
9270,14615,1683,12991,1949
9271,16355,4148,14894,4663
9272,15089,4958,16091,5453
9273,17704,7382,17763,8119
9274,20078,8916,19634,10056
9275,22835,10276,20460,14283
9276,21101,15232,19557,17022
9277,18135,15014,17402,18655
9278,16355,11858,16006,20540
9279,15041,20934,15105,22129
9280,14845,22848,14586,22088
9281,14832,22591,14624,22625
9282,16101,23180,15055,23144
9283,17781,24170,16647,23748
9284,19788,23447,18824,22693
9285,21906,23019,21410,22243
9286,23196,21990,23123,21620
9287,23697,21130,24155,20120
9288,24428,16408,24568,15731
9289,19746,12824,23910,12161
9290,16376,11259,19826,11124
9291,13045,9690,15696,8958
9292,11724,0,11337,319
9293,14606,3296,13916,3583
9294,17046,5938,15630,6085
9295,19108,7681,17698,7806
9296,20825,9305,19633,9336
9297,22996,11219,21759,11722
9298,24370,13219,23498,13350
