,areas,phi,rho,seg,name
0,182,50.97849,0.0983557,3,9000798_00_020
1,21,78.71931,0.10826693,3,9000798_00_020
0,52,201.18463,0.107960984,1,9000798_01_000
0,14,29.191841,0.089863755,3,9000798_01_000
1,34,34.492943,0.090502046,3,9000798_01_000
0,15,325.9593,0.009490885,1,9000798_01_001
1,13,272.23547,0.03748586,1,9000798_01_001
2,10,157.4349,0.09199537,1,9000798_01_001
0,286,56.362915,0.106171764,3,9000798_01_001
1,34,61.139328,0.12922652,3,9000798_01_001
0,38,328.04507,0.017713876,1,9000798_01_002
0,414,60.048817,0.10676976,3,9000798_01_002
1,16,61.453148,0.12918821,3,9000798_01_002
2,46,67.17532,0.13786267,3,9000798_01_002
0,117,146.56482,0.13380024,1,9000798_01_003
1,13,152.11572,0.12989026,1,9000798_01_003
2,38,193.73747,0.13137683,1,9000798_01_003
3,49,162.4413,0.14367494,1,9000798_01_003
4,15,186.99632,0.1387562,1,9000798_01_003
5,10,189.80801,0.14344254,1,9000798_01_003
0,11,54.062843,0.136703,3,9000798_01_003
1,374,68.226715,0.10732312,3,9000798_01_003
2,25,305.54178,0.07867761,3,9000798_01_003
3,79,73.46699,0.14090762,3,9000798_01_003
4,19,82.74958,0.12274239,3,9000798_01_003
0,10,343.8003,0.041533977,1,9000798_01_004
1,296,242.5937,0.10669058,1,9000798_01_004
2,18,236.55107,0.09675,1,9000798_01_004
3,56,138.6667,0.1273666,1,9000798_01_004
4,92,161.33528,0.13993363,1,9000798_01_004
5,11,168.84918,0.15663417,1,9000798_01_004
0,99,73.176056,0.1530974,3,9000798_01_004
1,258,81.32354,0.11039029,3,9000798_01_004
2,13,70.32834,0.1415624,3,9000798_01_004
0,38,351.00146,0.048839927,1,9000798_01_005
1,76,242.07545,0.1115827,1,9000798_01_005
2,34,239.17268,0.09268821,1,9000798_01_005
0,35,70.71648,0.14327556,3,9000798_01_005
1,12,75.908394,0.13056627,3,9000798_01_005
2,75,86.097404,0.105883464,3,9000798_01_005
0,23,132.92633,0.13801496,1,9000798_01_006
0,11,320.33542,0.08507034,3,9000798_01_006
1,17,93.09098,0.12622099,3,9000798_01_006
0,42,163.63947,0.15115361,1,9000798_01_007
0,180,330.10004,0.08953692,3,9000798_01_007
1,11,58.128445,0.1444541,3,9000798_01_007
2,27,313.8561,0.07855961,3,9000798_01_007
3,90,306.43237,0.057179824,3,9000798_01_007
4,29,288.19736,0.061907027,3,9000798_01_007
5,49,86.81427,0.15218593,3,9000798_01_007
6,11,94.27856,0.1280469,3,9000798_01_007
7,71,220.18906,0.077319816,3,9000798_01_007
0,13,223.05072,0.12396923,1,9000798_01_008
0,79,335.6692,0.0834881,3,9000798_01_008
1,11,328.51465,0.07365427,3,9000798_01_008
2,62,211.476,0.058397084,3,9000798_01_008
0,79,236.92946,0.07837672,1,9000798_01_009
1,24,230.50508,0.09256346,1,9000798_01_009
0,10,61.40653,0.16006573,3,9000798_01_009
1,162,293.38956,0.05566957,3,9000798_01_009
2,42,238.81349,0.032050114,3,9000798_01_009
0,28,120.70445,0.14696443,1,9000798_01_010
1,25,156.95535,0.14715376,1,9000798_01_010
0,14,62.23556,0.14949748,3,9000798_01_010
0,322,157.86519,0.13680576,1,9000798_01_011
1,60,165.95119,0.12033768,1,9000798_01_011
0,12,58.829582,0.13702679,3,9000798_01_011
1,417,72.22177,0.12669407,3,9000798_01_011
2,11,274.90958,0.06951359,3,9000798_01_011
3,11,271.68442,0.05683214,3,9000798_01_011
4,11,263.74695,0.06555854,3,9000798_01_011
0,893,159.17221,0.13025402,1,9000798_01_012
0,670,64.488625,0.12993969,3,9000798_01_012
1,45,69.83803,0.16760728,3,9000798_01_012
2,43,271.43304,0.08079749,3,9000798_01_012
