,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
2011,0,0,0,0,0,0,0,0,10,18,12,5,11,30,34,5,0,0,0,6,32,40,31,57,92,84,61,49,17,27,77,113,3,12,6,0,0,6,5,0,0,4,8,20,32,9,0,0,10,0,0,6,70,94,46,9,4,1,2,0,0,0,1,0,0,0,0,0,2,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,2,1,11,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,11,641,526,254,211,92,50,45,104,232,207,129,19,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,8,73,135,160,103,93,132,68,80,147,218,287,238,157,103,88,19,28,40,70,47,53,63,37,12,0,0,0,0,0,0,2,4,0,2,14,30,29,9,41,41,15,2,31,7,47,41,36,23,23,31,26,25,4,23,3,2,0,14,1,2,5
2014,0,0,0,0,0,0,1,34,146,330,660,737,737,463,244,159,146,131,100,70,54,27,15,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,80,86,69,47,6,13,4,12,14,6,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,10,27,41,6,32,20,8,16,26,8,28,13,10,8,1,2,35,174,273,140,10,3,4,22,8,20,3,35,4,2,11,8,1,6,30,3,4,2,10,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,287,438,431,224,88,6,24,12,14,26,21,40,19,7,7,10,22,27,25,12,1,3,35,80,106,127,342,232,87,3,0,0,8,4,43,108,140,149,117,51,17,0,0,0,0,2,1,6,1,0,0,0,0,0,0,0,5,6,0,0,0,1,0,0,0
2020,0,0,0,0,0,4,3,841,1172,1107,971,848,757,645,408,329,231,126,111,116,116,93,83,62,30,20,6,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,15,217,335,328,300,244,160,117,103,39,12,4,1,5,3,16,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,19,10,2,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,18,446,984,1190,1329,1173,958,721,469,458,316,243,196,142,116,112,95,83,5,1,6,11,13,26,8,9,23,38,37,19,11,16,12,12,7,9,3,0,4,26,32,5,11,11,10,3,0,6,12,4,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4,2,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,165,525,955,1585,2576,2979,3131,2654,2124,1896,1740,1396,1182,974,779,713,604,520,403,415,451,521,476,384,434,346,251,207,188,240,183,51,9,6,20,8,17,99,271,340,337,518,773,461,188,45,29,20,24,26,20,13,3,20,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,1,28,43,34,58,106,174,45,42,32,148,169,174,167,102,52,103,24,7,34,101,66,73,38,43,34,0,5,6,17,31,54,128,178,185,174,61,18,16,2,0,3,29,46,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,281,858,1518,1729,1563,1354,1162,1101,978,878,780,672,625,633,619,578,504,545,462,315,160,64,14,0,5,3,2,2,11,20,15,17,14,22,31,7,1,77,324,100,54,392,580,131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,75,353,420,669,797,723,646,542,459,351,302,240,233,189,177,185,198,163,95,5,7,0,0,0,0,0,0,0,1,2,6,3,1,0,0,0,0,46,171,77,209,391,761,781,559,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,0,28,84,85,39,13,2,8,3,4,0,0,0,3,7,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,1,4,7,4,1,0,0,3,3,0,0,1,2,1,0,17,81,113,39,1,0,0,1,1,1,0,0,4,1,3,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,5,11,16,7,2,3,1,1,11,10,26,6,1,70,219,290,232,104,14,0,2,1,14,4,11,9,74,52,2,3,34,44,5,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,5,1,5,6,15,30,41,51,54,35,33,26,6,3,3,0,2,0,0,2,0,0,31,122,287,344,176,80,4,1,6,2,0,8,15,157,86,19,4,16,38,25,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,1,1,0,29,49,11,12,30,53,70,90,131,65,19,9,18,49,17,0,3,7,42,103,130,136,133,115,120,177,169,61,9,0,96,269,326,170,13,0,0,0,0,0,3,0,15,2,0,7,0,0,6,14,9,0,0,0,0,0,7,0,0,0,0
2034,0,0,0,0,18,42,43,60,67,87,77,75,48,53,34,31,20,9,5,2,7,6,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,44,27,4,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,143,122,0,0,0,0,0,0,0
2035,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,16,2,0,7,90,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0,0,98,140,134,122,4,4,3,0,2,1,6,5,0,0,0,0,0,0,0,0,10,8,0,4,1,0,0,1,0,0,14,0,0,2,1,0,12,2,0,15,6,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2037,0,0,0,0,0,0,0,5,12,17,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,4,28,396,603,465,545,670,501,245,130,68,59,52,23,4,26,41,20,3,0,0,31,5,1,1,5,28,52,388,156,17,24,43,46,65,432,1917,2713,3689,4163,3191,1693,408,152,34,38,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
