,0,1,2
416,11239,9525,1952
417,5935,16587,1543
418,4796,3525,158
419,4569,26970,4752
420,3230,7069,1290
421,405,2283,151
422,3434,5489,1233
423,1082,5873,1210
424,2680,3938,435
425,1234,3942,415
426,3236,3835,61
427,14582,18031,2913
428,3198,5149,151
429,4031,6542,752
430,2319,10154,1183
431,1470,3491,243
432,9479,10029,1143
433,2913,9701,1909
434,3978,8391,174
435,54,2309,515
436,4805,3881,3125
437,15540,20080,628
438,2427,5370,162
439,5600,5459,2420
440,626,4369,638
441,10644,24065,485
442,3438,14235,1989
443,3399,19640,5485
444,4212,6745,513
445,5042,10523,1849
446,3629,3244,194
447,3605,3923,394
448,7086,10568,3442
449,4343,3231,253
450,2729,16693,3966
451,27506,10204,2160
452,2062,1316,14
453,8346,12471,1129
454,5956,6991,1247
455,26960,20104,2441
456,7088,13269,2099
457,3257,7574,1205
458,1386,6579,643
459,2462,1517,1302
460,1249,3846,515
461,16734,12236,2904
462,1342,6983,434
463,6024,12899,642
464,1369,5512,439
465,2577,26642,3460
466,10368,37754,886
467,1360,8296,861
468,771,3215,388
469,1972,12152,2895
470,1518,1637,42
471,6501,8838,269
472,2371,2721,939
473,9087,8025,118
474,8216,8474,954
475,16237,8935,2066
476,577,21340,3353
477,900,7500,839
478,3766,9278,1176
479,718,2238,2069
480,1865,6228,2084
481,4866,7771,902
482,26108,20533,2528
483,2976,11464,1469
484,2705,2742,1257
485,973,2658,537
486,2766,3029,1397
487,1803,6281,1330
488,5892,7112,1873
489,6006,5913,229
490,16125,15211,2320
491,2683,6334,214
492,3077,7149,151
493,3507,6710,206
494,43555,34873,3125
495,3082,6267,1654
496,3469,10867,1976
497,14630,9672,2089
498,23678,29575,7873
499,11917,17947,3709
500,5680,9672,1296
501,16448,11034,824
502,558,1961,228
503,12989,10725,1181
504,20373,14567,2401
505,669,8729,3976
506,1282,4298,431
507,2501,6958,1997
508,24350,19531,5396
509,146,1444,74
510,3633,4113,862
511,3533,6373,1291
512,2573,10303,128
513,861,1690,3157
514,5314,6435,1768
515,9831,9751,3612
516,6540,9887,930
517,2181,17326,2442
518,907,1300,231
519,5150,13368,1119
520,23882,13189,1188
521,35398,10094,1170
522,9254,9525,493
523,5524,6657,1120
524,4895,6043,6249
525,2105,1162,338
526,3500,7735,518
527,2468,5463,1018
528,10999,13275,2377
529,2495,7384,3786
530,2819,4431,604
531,7736,13483,4302
532,6051,15761,3390
533,14038,11533,1559
534,191,3148,1096
535,350,11425,5969
536,1728,6888,4272
537,3694,6897,547
538,4003,9831,1353
539,21654,4499,618
540,1310,2894,1170
541,2518,5989,5698
542,1331,8239,5928
543,4819,5603,5203
544,9493,9453,989
545,8496,12158,824
546,12640,12568,2633
547,28323,14400,2625
548,15587,11823,3011
