,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
10,0,0,0,0,0,0,0,0,15,8,0,0,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,59,18,1,15,32,1,1,4,1,0,4,0,0,0,0,0,0,3,4,16,21,17,3,0,0,0,0,0,0,0
11,0,0,110,362,397,686,996,1235,1085,916,794,777,826,839,785,628,504,431,363,329,334,368,326,200,65,75,116,189,285,356,533,400,589,663,87,44,47,49,69,368,1094,1025,618,320,129,190,179,149,291,106,32,28,56,117,100,55,135,119,154,299,325,184,110,130,121,163,255,175,68,5,5
12,0,0,0,0,0,0,0,0,0,1,14,15,10,2,0,1,3,3,2,0,5,2,1,3,0,0,0,8,7,39,13,8,7,3,14,0,0,1,0,2,0,1,4,66,148,56,91,64,27,17,17,1,0,0,1,0,0,0,10,11,4,3,41,85,39,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,76,16,15,5,16,4,14,12,27,2,24,77,87,34,24,27,47,49,19,0,0,0,2,28,73,71,132,116,35,7,7,29,12,1,0,0,16,2,16,41,60,3,25,31,40,139,243,331,330,346,386,452,376,93,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,20,2,9,12,11,13,2,43,96,131,60,24,52,28,19,40,44,32,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,1,0,0,8,14,7,0,0,14,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,6,4,1,12,40,48,51,36,20,24,58,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,24,0,17,13,11,6,42,21,14,10,8,2,0,0,1,0,2,2,0,0,1,0,9,7,23,12,14,19,28,19,0,0,0,0,0,0,0,0,21,89,18,0,0,0,0,0,10,13,0,0,1,23,35,29,22,10,5,3,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,0,11,36,25,1,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,69,47,15,8,13,58,58,47,30,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
